source,target,relation,subject,weight
N00002,N00001,part_of,数据结构,1.0
N00003,N00002,part_of,数据结构,1.0
N00004,N00002,part_of,数据结构,1.0
N00005,N00002,part_of,数据结构,1.0
N00006,N00002,part_of,数据结构,1.0
N00007,N00002,part_of,数据结构,1.0
N00008,N00002,part_of,数据结构,1.0
N00009,N00002,part_of,数据结构,1.0
N00010,N00002,part_of,数据结构,1.0
N00011,N00002,part_of,数据结构,1.0
N00012,N00002,part_of,数据结构,1.0
N00013,N00002,part_of,数据结构,1.0
N00014,N00002,part_of,数据结构,1.0
N00015,N00002,part_of,数据结构,1.0
N00016,N00002,part_of,数据结构,1.0
N00017,N00002,part_of,数据结构,1.0
N00018,N00002,part_of,数据结构,1.0
N00019,N00002,part_of,数据结构,1.0
N00020,N00002,part_of,数据结构,1.0
N00021,N00002,part_of,数据结构,1.0
N00022,N00002,part_of,数据结构,1.0
N00023,N00002,part_of,数据结构,1.0
N00024,N00002,part_of,数据结构,1.0
N00025,N00002,part_of,数据结构,1.0
N00026,N00002,part_of,数据结构,1.0
N00027,N00002,part_of,数据结构,1.0
N00028,N00002,part_of,数据结构,1.0
N00029,N00002,part_of,数据结构,1.0
N00030,N00002,part_of,数据结构,1.0
N00031,N00002,part_of,数据结构,1.0
N00032,N00002,part_of,数据结构,1.0
N00033,N00002,part_of,数据结构,1.0
N00034,N00002,part_of,数据结构,1.0
N00035,N00002,part_of,数据结构,1.0
N00036,N00002,part_of,数据结构,1.0
N00037,N00002,part_of,数据结构,1.0
N00038,N00002,part_of,数据结构,1.0
N00039,N00002,part_of,数据结构,1.0
N00040,N00002,part_of,数据结构,1.0
N00041,N00002,part_of,数据结构,1.0
N00042,N00002,part_of,数据结构,1.0
N00043,N00002,part_of,数据结构,1.0
N00044,N00002,part_of,数据结构,1.0
N00045,N00002,part_of,数据结构,1.0
N00046,N00002,part_of,数据结构,1.0
N00047,N00002,part_of,数据结构,1.0
N00048,N00002,part_of,数据结构,1.0
N00049,N00002,part_of,数据结构,1.0
N00050,N00002,part_of,数据结构,1.0
N00051,N00002,part_of,数据结构,1.0
N00052,N00002,part_of,数据结构,1.0
N00053,N00002,part_of,数据结构,1.0
N00054,N00002,part_of,数据结构,1.0
N00055,N00002,part_of,数据结构,1.0
N00056,N00002,part_of,数据结构,1.0
N00057,N00002,part_of,数据结构,1.0
N00058,N00002,part_of,数据结构,1.0
N00059,N00002,part_of,数据结构,1.0
N00060,N00002,part_of,数据结构,1.0
N00061,N00002,part_of,数据结构,1.0
N00062,N00002,part_of,数据结构,1.0
N00063,N00002,part_of,数据结构,1.0
N00064,N00002,part_of,数据结构,1.0
N00065,N00002,part_of,数据结构,1.0
N00066,N00002,part_of,数据结构,1.0
N00067,N00002,part_of,数据结构,1.0
N00068,N00002,part_of,数据结构,1.0
N00069,N00002,part_of,数据结构,1.0
N00070,N00002,part_of,数据结构,1.0
N00071,N00002,part_of,数据结构,1.0
N00072,N00002,part_of,数据结构,1.0
N00073,N00002,part_of,数据结构,1.0
N00074,N00002,part_of,数据结构,1.0
N00075,N00002,part_of,数据结构,1.0
N00076,N00002,part_of,数据结构,1.0
N00077,N00002,part_of,数据结构,1.0
N00078,N00002,part_of,数据结构,1.0
N00079,N00002,part_of,数据结构,1.0
N00080,N00002,part_of,数据结构,1.0
N00081,N00002,part_of,数据结构,1.0
N00082,N00002,part_of,数据结构,1.0
N00083,N00001,part_of,数据结构,1.0
N00084,N00083,part_of,数据结构,1.0
N00085,N00083,part_of,数据结构,1.0
N00086,N00083,part_of,数据结构,1.0
N00087,N00083,part_of,数据结构,1.0
N00088,N00083,part_of,数据结构,1.0
N00089,N00083,part_of,数据结构,1.0
N00090,N00083,part_of,数据结构,1.0
N00091,N00083,part_of,数据结构,1.0
N00092,N00083,part_of,数据结构,1.0
N00093,N00083,part_of,数据结构,1.0
N00094,N00083,part_of,数据结构,1.0
N00095,N00083,part_of,数据结构,1.0
N00096,N00083,part_of,数据结构,1.0
N00097,N00083,part_of,数据结构,1.0
N00098,N00083,part_of,数据结构,1.0
N00099,N00083,part_of,数据结构,1.0
N00100,N00083,part_of,数据结构,1.0
N00101,N00083,part_of,数据结构,1.0
N00102,N00083,part_of,数据结构,1.0
N00103,N00083,part_of,数据结构,1.0
N00104,N00083,part_of,数据结构,1.0
N00105,N00083,part_of,数据结构,1.0
N00106,N00083,part_of,数据结构,1.0
N00107,N00083,part_of,数据结构,1.0
N00108,N00083,part_of,数据结构,1.0
N00109,N00083,part_of,数据结构,1.0
N00110,N00083,part_of,数据结构,1.0
